# t raw ideal predicted
0.000000000000000000e+00 1.841000000000013737e-01 0.000000000000000000e+00 3.996821960277191325e-03
3.947368421052631504e+01 1.408000000000018126e-01 2.859999999999995879e-02 9.157705929382668752e-02
7.894736842105263008e+01 1.246000000000014318e-01 4.499999999999998446e-02 8.387674531086904139e-02
1.184210526315789451e+02 1.090000000000013181e-01 4.539999999999999591e-02 4.425153614095000965e-02
1.578947368421052602e+02 9.350000000000130429e-02 3.559999999999990949e-02 4.556408342955844959e-02
1.973684210526315610e+02 8.640000000000125358e-02 2.789999999999992486e-02 3.928080495148510848e-02
2.368421052631578902e+02 7.540000000000168789e-02 2.289999999999997593e-02 4.072425851922258783e-02
2.763157894736842195e+02 7.590000000000146629e-02 2.250000000000007550e-02 3.645889940621110936e-02
3.157894736842105203e+02 7.320000000000170814e-02 2.400000000000002132e-02 3.025913353543377773e-02
3.552631578947368212e+02 7.170000000000109619e-02 2.699999999999991296e-02 3.425258956718933018e-02
3.947368421052631220e+02 7.790000000000157909e-02 2.729999999999999094e-02 3.834819078924826125e-02
4.342105263157894797e+02 7.760000000000177867e-02 2.889999999999998126e-02 3.885200435240544065e-02
4.736842105263157805e+02 7.650000000000151124e-02 3.200000000000008393e-02 3.613549405562688915e-02
5.131578947368420813e+02 7.800000000000123501e-02 3.110000000000001652e-02 2.866481534849342136e-02
5.526315789473684390e+02 7.670000000000132268e-02 3.020000000000000462e-02 3.372492827351682154e-02
5.921052631578946830e+02 7.410000000000166454e-02 3.029999999999993809e-02 3.432115279918279693e-02
6.315789473684210407e+02 7.030000000000136140e-02 2.660000000000001252e-02 2.807190809378603408e-02
6.710526315789473983e+02 7.310000000000138609e-02 2.680000000000004601e-02 3.860913935890331050e-02
7.105263157894736423e+02 7.040000000000140590e-02 2.610000000000006759e-02 3.460506584699429844e-02
7.500000000000000000e+02 7.390000000000107594e-02 2.380000000000004334e-02 3.400725179816370403e-02
